School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Blue Springs,39.71,28.8,68.5,1,7,1
Rockhurst,25.52,38.01,63.52,11,1,2
Webb City,32.64,29.98,62.63,2,5,3
Lee's Summit West,27.71,30.26,57.97,8,4,4
Kirkwood,27.97,25.81,53.77,7,10,5
Maryville,29.17,22.05,51.22,3,16,6
Christian Brothers College,28.22,21.14,49.36,5,19,7
Lafayette (Wildwood),23.0,26.27,49.27,16,9,8
Francis Howell,17.85,30.69,48.54,27,3,9
Ozark,25.7,22.72,48.43,10,15,10
Fort Osage,16.09,31.77,47.86,37,2,11
Cassville,19.73,27.62,47.35,21,8,12
Rock Bridge,17.98,28.94,46.93,25,6,13
Raymore-Peculiar,28.27,16.85,45.12,4,40,14
De Smet Jesuit,25.33,19.77,45.1,12,28,15
Lamar,26.78,17.78,44.56,9,35,16
Jefferson City,20.28,23.1,43.38,20,14,17
John Burroughs,22.82,20.22,43.04,17,25,18
Liberty,22.37,20.59,42.96,18,20,19
Rockwood Summit,23.45,18.95,42.4,13,32,20
Blue Springs South,17.95,24.01,41.96,26,12,21
Parkway Central,14.71,24.39,39.1,48,11,22
Eureka,18.56,20.32,38.88,24,23,23
Lebanon,23.26,14.71,37.97,14,48,24
Staley,23.08,14.23,37.31,15,53,25
Camdenton,15.43,21.34,36.77,39,18,26
Webster Groves,17.19,19.26,36.46,33,30,27
Sullivan,21.27,14.64,35.91,19,51,28
Hickman,13.65,21.6,35.26,54,17,29
Nixa,15.23,19.78,35.01,40,27,30
Hillcrest,17.29,17.5,34.8,31,36,31
Hazelwood Central,11.19,23.49,34.68,76,13,32
Smithville,14.99,18.89,33.88,44,33,33
Park Hill South,13.82,19.97,33.79,52,26,34
Harrisonville,13.26,20.34,33.61,56,22,35
Oak Grove,12.09,20.57,32.66,68,21,36
Hazelwood East,12.89,19.5,32.38,61,29,37
Savannah,15.05,17.31,32.35,43,38,38
Lafayette (St. Joseph),15.18,16.35,31.53,42,43,39
Helias Catholic,16.35,14.42,30.77,34,52,40
Parkview,17.49,13.1,30.59,29,61,41
Center,13.07,17.45,30.53,58,37,42
