School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Penney,13.54,12.67,26.21,1,1,1
Tipton,11.27,6.15,17.42,4,2,2
Valle Catholic,13.16,0.44,13.6,3,9,3
Wellington-Napoleon,13.29,-2.3,10.99,2,13,4
Polo,5.25,3.01,8.25,9,4,5
Skyline,7.57,0.27,7.84,6,10,6
Milan,6.41,-2.32,4.09,8,14,7
Miller,-0.48,1.95,1.47,14,7,8
South Harrison,10.2,-9.37,0.83,5,27,9
Portageville,3.21,-2.44,0.77,10,15,10
Midway,-2.75,2.31,-0.44,17,6,11
Westran,2.72,-3.98,-1.26,11,18,12
Salisbury,-4.24,2.38,-1.87,23,5,13
South Shelby,1.24,-4.53,-3.29,13,20,14
Gallatin,-2.71,-0.77,-3.49,16,11,15
Drexel with Miami (Amoret),1.6,-7.92,-6.32,12,25,16
Thayer,-3.19,-3.47,-6.66,20,17,17
West Platte,-3.66,-4.25,-7.91,21,19,18
Adrian,-15.8,3.43,-12.36,37,3,19
North Platte,-7.51,-5.09,-12.6,26,21,20
Hayti,-15.09,1.79,-13.3,35,8,21
Marceline,-10.39,-3.21,-13.61,28,16,22
Concordia,-0.73,-13.46,-14.19,15,36,23
Lockwood with Golden City,-2.92,-12.5,-15.42,18,32,24
Princeton with Mercer,-4.1,-13.47,-17.57,22,37,25
Osceola,7.43,-25.52,-18.08,7,53,26
Marionville,-10.42,-8.76,-19.18,29,26,27
Cole Camp,-15.42,-5.73,-21.15,36,22,28
Knox County,-5.36,-17.22,-22.57,24,41,29
Sacred Heart,-3.05,-20.03,-23.08,19,46,30
East Buchanan,-9.48,-15.03,-24.51,27,38,31
Crest Ridge,-14.41,-11.89,-26.3,33,31,32
Cabool,-14.91,-11.85,-26.76,34,30,33
Maysville,-13.66,-13.13,-26.79,32,34,34
Archie,-12.93,-15.48,-28.41,31,39,35
McAuley Catholic,-11.34,-17.42,-28.76,30,42,36
Mid-Buchanan,-19.51,-10.08,-29.6,41,28,37
St. Vincent,-17.12,-12.56,-29.68,38,33,38
Pierce City,-6.85,-23.5,-30.35,25,50,39
Schuyler County,-24.81,-5.87,-30.68,56,23,40
Santa Fe,-17.87,-13.37,-31.24,40,35,41
King City with Pattonsburg,-24.2,-7.76,-31.96,52,24,42
Greenfield,-31.6,-1.59,-33.19,63,12,43
Crystal City,-24.77,-10.5,-35.27,55,29,44
Windsor,-17.28,-18.03,-35.31,39,43,45
Chaffee,-19.81,-18.72,-38.53,42,45,46
Jasper,-21.24,-18.34,-39.58,45,44,47
Louisiana,-19.92,-24.39,-44.31,43,52,48
Lone Jack,-27.56,-16.79,-44.35,59,40,49
Appleton City with Montrose,-22.6,-21.93,-44.53,47,48,50
Rich Hill with Hume,-23.84,-21.5,-45.34,49,47,51
Fayette,-26.7,-23.44,-50.14,58,49,52
Putnam County,-20.63,-30.27,-50.9,44,57,53
Braymer,-23.12,-28.16,-51.27,48,56,54
Paris,-24.01,-28.04,-52.05,51,55,55
Liberal with Bronaugh,-30.1,-23.74,-53.84,62,51,56
Scotland County,-24.45,-30.66,-55.11,54,58,57
Albany,-22.35,-33.81,-56.16,46,62,58
North Shelby,-28.65,-27.65,-56.3,61,54,59
Slater,-24.31,-32.13,-56.43,53,60,60
Sweet Springs with Malta Bend,-27.74,-30.94,-58.68,60,59,61
Orrick,-25.29,-35.01,-60.29,57,63,62
St. Mary's (Independence),-23.94,-45.26,-69.2,50,64,63
Wentworth Military Academy,-37.9,-32.17,-70.07,64,61,64
