Date,Home Team,Home Score,Away Team,Away Score
2010-08-27,Princeton with Mercer,54,Albany,6
2010-08-27,Drexel with Miami (Amoret),24,Appleton City with Montrose,6
2010-08-27,Liberal with Bronaugh,8,Ash Grove,42
2010-08-27,Warsaw,0,Aurora,34
2010-08-27,Strafford,28,Ava,35
2010-08-27,Park Hill South,21,Belton,7
2010-08-27,Northeast (Kansas City),0,Benton,59
2010-08-27,Lutheran South,27,Bishop DuBourg,20
2010-08-27,Neosho,19,Bolivar,26
2010-08-27,Montgomery County,6,Bowling Green,37
2010-08-27,Carthage,60,Branson,28
2010-08-27,Santa Fe,20,Braymer,6
2010-08-27,Crystal City,33,Brentwood,39
2010-08-27,Mark Twain,0,Brookfield,20
2010-08-27,Houston,13,Cabool,34
2010-08-27,Moberly,28,California,14
2010-08-27,Blair Oaks,22,Carrollton,18
2010-08-27,University Academy Charter,7,Center,35
2010-08-27,Central (New Madrid County),6,Central (Cape Girardeau),41
2010-08-27,St. Vincent,6,Central (Park Hills),41
2010-08-27,North Kansas City,8,Central (St. Joseph),27
2010-08-27,Riverview Gardens,20,Chaminade College Preparatory,49
2010-08-27,Kennett,42,Charleston,12
2010-08-27,Ft. Zumwalt West,36,Christian Brothers College,34
2010-08-27,Putnam County,18,Clark County,57
2010-08-27,Lutheran North,14,Clayton,30
2010-08-27,Central (Kansas City),6,Clinton,44
2010-08-27,Winfield,6,Clopton with Elsberry,47
2010-08-27,Skyline,26,Cole Camp,27
2010-08-27,Lafayette County,6,Concordia,40
2010-08-27,St. James,12,Cuba,24
2010-08-27,Pacific,6,DeSoto with Kingston,26
2010-08-27,Ft. Zumwalt North,28,Duchesne,7
2010-08-27,Lafayette (St. Joseph),65,East (Kansas City),0
2010-08-27,Springfield Catholic,42,East Newton,20
2010-08-27,Adrian,41,El Dorado Springs,6
2010-08-27,North Callaway,20,Eldon,13
2010-08-27,Lafayette (Wildwood),0,Eureka,28
2010-08-27,Buffalo,0,Fair Grove,66
2010-08-27,Festus,20,Farmington,31
2010-08-27,Lee's Summit North,10,Fort Osage,19
2010-08-27,Holt,16,Francis Howell,58
2010-08-27,Timberland,42,Francis Howell North,21
2010-08-27,North County,12,Fredericktown,21
2010-08-27,Osage,47,Fulton,0
2010-08-27,North Platte,32,Gallatin,7
2010-08-27,O'Hara,26,Grandview,28
2010-08-27,Chaffee,0,Grandview (Hillsboro),13
2010-08-27,Miller,49,Greenfield,7
2010-08-27,Missouri Military Academy,0,Hallsville,51
2010-08-27,Helias Catholic,24,Harrisonville,17
2010-08-27,East Prairie,12,Hayti,14
2010-08-27,Perryville,14,Herculaneum,49
2010-08-27,Sullivan,27,Hermann,24
2010-08-27,Rock Bridge,24,Hickman,20
2010-08-27,Seneca,15,Hillcrest,20
2010-08-27,Mexico,19,Hillsboro,21
2010-08-27,Odessa,19,Holden,42
2010-08-27,McCluer North,10,Jefferson City,41
2010-08-27,Glendale,14,Joplin,17
2010-08-27,Macon,48,Kirksville,0
2010-08-27,Versailles,39,Knob Noster,6
2010-08-27,Highland,28,Knox County,16
2010-08-27,Carl Junction,7,Lamar,38
2010-08-27,Wellington-Napoleon,42,Lathrop,0
2010-08-27,Maryville,7,Lawson,17
2010-08-27,Raymore-Peculiar,13,Lee's Summit West,21
2010-08-27,Oak Grove,21,Lexington,14
2010-08-27,Oak Park,55,Liberty North,0
2010-08-27,Central (Springfield),45,Lift for Life Academy Charter,14
2010-08-27,Oakville,7,Lindbergh,39
2010-08-27,Diamond,14,Lockwood with Golden City,49
2010-08-27,Mt. Vernon,21,Logan-Rogersville,39
2010-08-27,Centralia,41,Louisiana,7
2010-08-27,St. Mary's South Side,24,Lutheran St. Charles,23
2010-08-27,Schuyler County,18,Marceline,32
2010-08-27,Osceola,21,Marionville,14
2010-08-27,Sumner,6,Marquette,39
2010-08-27,Chillicothe,15,Marshall,7
2010-08-27,Hollister,12,Marshfield,51
2010-08-27,Midway,8,Maysville,14
2010-08-27,Pleasant Hope,41,McAuley Catholic,12
2010-08-27,Webster Groves,51,McCluer,14
2010-08-27,Monett,10,McDonald County,0
2010-08-27,Northwest (Cedar Hill),14,Mehlville,42
2010-08-27,Sacred Heart,15,Milan,46
2010-08-27,Paris,6,Monroe City,46
2010-08-27,Cassville,40,Mountain Grove,7
2010-08-27,Camdenton,14,Nixa,21
2010-08-27,Van-Far with Community,0,Orchard Farm,49
2010-08-27,Mid-Buchanan,27,Orrick,46
2010-08-27,Webb City,31,Ozark,7
2010-08-27,Wright City,26,Palmyra,6
2010-08-27,Liberty,35,Park Hill,14
2010-08-27,Ladue Horton Watkins,41,Parkway Central,36
2010-08-27,Fox,30,Parkway South,40
2010-08-27,University City,50,Parkway West,22
2010-08-27,John Burroughs,34,Pembroke Hill,14
2010-08-27,King City with Pattonsburg,16,Penney,61
2010-08-27,Grain Valley,13,Platte County,14
2010-08-27,Boonville,19,Pleasant Hill,14
2010-08-27,Vashon,54,Poplar Bluff,12
2010-08-27,Caruthersville,36,Portageville,0
2010-08-27,Owensville,42,Potosi,13
2010-08-27,Windsor (Imperial),0,Priory,25
2010-08-27,Blue Springs South,49,Raytown South,7
2010-08-27,Van Horn,12,Renaissance Academy Charter,27
2010-08-27,Crest Ridge,42,Rich Hill with Hume,16
2010-08-27,Excelsior Springs,21,Richmond,32
2010-08-27,Vianney,15,Ritenour,34
2010-08-27,Blue Springs,6,Rockhurst,7
2010-08-27,Kirkwood,34,Rockwood Summit,14
2010-08-27,Parkview,35,Rolla,42
2010-08-27,Truman,6,Ruskin,38
2010-08-27,Thayer,20,Salem,14
2010-08-27,Scotland County,0,Salisbury,31
2010-08-27,Pierce City,48,Sarcoxie,7
2010-08-27,Bishop LeBlond,7,Savannah,49
2010-08-27,Malden,47,Scott City,41
2010-08-27,Sweet Springs with Malta Bend,0,Sherwood,46
2010-08-27,Parkway North,28,SLUH,42
2010-08-27,St. Pius X (Kansas City),14,Smith-Cotton,16
2010-08-27,Cameron,7,Smithville,28
2010-08-27,Fayette,6,South Callaway,53
2010-08-27,Plattsburg,19,South Harrison,33
2010-08-27,Trenton,6,South Shelby,27
2010-08-27,Tipton,40,Southern Boone,16
2010-08-27,Warrenton,41,St. Charles,0
2010-08-27,Ft. Zumwalt South,0,St. Charles West,16
2010-08-27,St. Francis Borgia,14,St. Clair,12
2010-08-27,Cardinal Ritter,6,St. Dominic,13
2010-08-27,Lone Jack,0,St. Paul Lutheran (Concordia),10
2010-08-27,Raytown,13,Staley,44
2010-08-27,Dexter,25,Ste. Genevieve,42
2010-08-27,Butler,13,Stockton,27
2010-08-27,Francis Howell Central,7,Troy Buchanan,0
2010-08-27,Affton,8,Union,43
2010-08-27,Nevada,9,Warrensburg,26
2010-08-27,Ft. Zumwalt East,40,Washington,14
2010-08-27,Kickapoo,22,Waynesville,21
2010-08-27,Lebanon,49,West Plains,6
2010-08-27,Lincoln College Prep,27,West Platte,42
2010-08-27,North Shelby,12,Westran,55
2010-08-27,Republic,31,Willard,8
2010-08-27,Lee's Summit,57,William Chrisman,23
2010-08-27,Reeds Spring,12,Willow Springs,22
2010-08-27,Archie,35,Windsor,0
2010-08-27,Kearney,45,Winnetonka,0
2010-08-28,De Smet Jesuit,19,Hazelwood Central,20
2010-08-28,Pattonville,24,Hazelwood East,6
2010-08-28,Hogan Prep Academy Charter,22,Liberty (Mountain View),15
2010-08-28,Carnahan,0,McCluer South-Berkeley,45
2010-08-28,Maplewood-Richmond Hts.,26,MICDS,16
2010-08-28,Valle Catholic,56,Principia,0
2010-08-28,Polo,50,St. Mary's (Independence),6
2010-08-28,Jennings,6,Transportation and Law with Beaumont,41
2010-08-28,Jackson,50,Veritas Christian Academy,36
2010-09-02,Central (Kansas City),16,Liberty North,46
2010-09-02,Butler,28,St. Mary's (Independence),13
2010-09-03,Priory,28,Affton,15
2010-09-03,Adrian,21,Archie,13
2010-09-03,Stockton,46,Ash Grove,0
2010-09-03,Lamar,9,Aurora,12
2010-09-03,Bishop LeBlond,6,Benton,39
2010-09-03,Cardinal Ritter,40,Bishop DuBourg,0
2010-09-03,Staley,26,Blue Springs,14
2010-09-03,Fulton,0,Boonville,42
2010-09-03,Miller Career Academy,20,Bowling Green,14
2010-09-03,Cassville,14,Branson,7
2010-09-03,Maplewood-Richmond Hts.,39,Brentwood,7
2010-09-03,Mountain Grove,14,Cabool,0
2010-09-03,Richmond,33,Cameron,6
2010-09-03,Ozark,0,Carthage,39
2010-09-03,Poplar Bluff,34,Central (New Madrid County),12
2010-09-03,Palmyra,0,Centralia,27
2010-09-03,Portageville,42,Chaffee,6
2010-09-03,Lift for Life Academy Charter,24,Crystal City,52
2010-09-03,Hazelwood East,24,De Smet Jesuit,44
2010-09-03,Perryville,0,DeSoto with Kingston,27
2010-09-03,Park Hill,0,Dexter,14
2010-09-03,Central (Park Hills),0,Dexter,14
2010-09-03,Miller,48,Diamond,0
2010-09-03,Sherwood,26,Drexel with Miami (Amoret),6
2010-09-03,King City with Pattonsburg,8,East Buchanan,41
2010-09-03,Lafayette County,41,El Dorado Springs,13
2010-09-03,Westran,43,Eldon,0
2010-09-03,Mehlville,14,Eureka,41
2010-09-03,Savannah,35,Excelsior Springs,6
2010-09-03,Skyline,26,Fair Grove,20
2010-09-03,Tipton,42,Fayette,6
2010-09-03,Central (Cape Girardeau),28,Festus,16
2010-09-03,Ritenour,40,Fox,7
2010-09-03,Christian Brothers College,32,Francis Howell Central,7
2010-09-03,Hillsboro,14,Fredericktown,27
2010-09-03,St. Charles West,20,Ft. Zumwalt East,53
2010-09-03,St. Charles,0,Ft. Zumwalt North,35
2010-09-03,Washington,16,Ft. Zumwalt South,0
2010-09-03,Francis Howell North,14,Ft. Zumwalt West,54
2010-09-03,Waynesville,35,Glendale,7
2010-09-03,Blair Oaks,8,Grain Valley,48
2010-09-03,South Callaway,27,Hallsville,7
2010-09-03,Farmington,13,Hannibal,40
2010-09-03,Malden,12,Hayti,20
2010-09-03,Francis Howell,29,Helias Catholic,19
2010-09-03,Holt,0,Hickman,16
2010-09-03,Louisiana,28,Highland,12
2010-09-03,Lebanon,17,Hillcrest,6
2010-09-03,Buffalo,6,Hollister,44
2010-09-03,Salem,45,Houston,0
2010-09-03,Parkway South,34,Jackson,13
2010-09-03,Sarcoxie,27,Jasper,6
2010-09-03,West Plains,6,Joplin,42
2010-09-03,Caruthersville,35,Kennett,6
2010-09-03,Rolla,22,Kickapoo,20
2010-09-03,Chillicothe,37,Kirksville,20
